Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Box Type,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Comment start
BT_3126,4/28/2023 11:28,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010643.MP4;D:/Innovation Videos/Camera 2/7-10/GH020643.MP4;D:/Innovation Videos/Camera 2/7-10/GH030643.MP4,1294.598,707.712;707.712;410.304,59.940;59.940;59.940, None,3126,Start,Start,,POINT,12.346,12.346,NA,D:/Innovation Videos/Camera 2/7-10/GH010643.MP4,741,741,
BT_3126,4/28/2023 11:28,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010643.MP4;D:/Innovation Videos/Camera 2/7-10/GH020643.MP4;D:/Innovation Videos/Camera 2/7-10/GH030643.MP4,1294.598,707.712;707.712;410.304,59.940;59.940;59.940, None,3126,Foot Touch,Top Foot Touch,,POINT,143.927,143.927,NA,D:/Innovation Videos/Camera 2/7-10/GH010643.MP4,8628,8628,
BT_3126,4/28/2023 11:28,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010643.MP4;D:/Innovation Videos/Camera 2/7-10/GH020643.MP4;D:/Innovation Videos/Camera 2/7-10/GH030643.MP4,1294.598,707.712;707.712;410.304,59.940;59.940;59.940, None,3126,Probe,Top Beak Touch,Vertical,POINT,1305.342,1305.342,NA,D:/Innovation Videos/Camera 2/7-10/GH020643.MP4,35823,35823,
BT_3126,4/28/2023 11:28,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010643.MP4;D:/Innovation Videos/Camera 2/7-10/GH020643.MP4;D:/Innovation Videos/Camera 2/7-10/GH030643.MP4,1294.598,707.712;707.712;410.304,59.940;59.940;59.940, None,3126,Foot Touch,Top Foot Touch,,POINT,1306.944,1306.944,NA,D:/Innovation Videos/Camera 2/7-10/GH020643.MP4,35919,35919,
BT_3127,4/21/2023 15:17,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010641.MP4;D:/Innovation Videos/Camera 2/7-10/GH020641.MP4;D:/Innovation Videos/Camera 2/7-10/GH030641.MP4,988.392,707.712;707.712;419.648,59.940;59.940;59.940, Lift,3127,Start,Start,,POINT,11.912,11.912,NA,D:/Innovation Videos/Camera 2/7-10/GH010641.MP4,715,715,
BT_3127,4/21/2023 15:17,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010641.MP4;D:/Innovation Videos/Camera 2/7-10/GH020641.MP4;D:/Innovation Videos/Camera 2/7-10/GH030641.MP4,988.392,707.712;707.712;419.648,59.940;59.940;59.940, Lift,3127,Pecks Box,Bottom Beak Touch,Obstructed,POINT,852.323,852.323,NA,D:/Innovation Videos/Camera 2/7-10/GH020641.MP4,8669,8669,
BT_3127,4/21/2023 15:17,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010641.MP4;D:/Innovation Videos/Camera 2/7-10/GH020641.MP4;D:/Innovation Videos/Camera 2/7-10/GH030641.MP4,988.392,707.712;707.712;419.648,59.940;59.940;59.940, Lift,3127,Foot Touch,Top Foot Touch,,POINT,893.531,893.531,NA,D:/Innovation Videos/Camera 2/7-10/GH020641.MP4,11139,11139,
BT_3127,4/21/2023 15:17,,Media file,player #1:D:/Innovation Videos/Camera 2/7-10/GH010641.MP4;D:/Innovation Videos/Camera 2/7-10/GH020641.MP4;D:/Innovation Videos/Camera 2/7-10/GH030641.MP4,988.392,707.712;707.712;419.648,59.940;59.940;59.940, Lift,3127,Foot Touch,Top Foot Touch,,POINT,1000.304,1000.304,NA,D:/Innovation Videos/Camera 2/7-10/GH020641.MP4,17539,17539,
BT_3131,4/19/2023 13:30,,Media file,player #1:D:/Innovation Videos/Camera 2/1-6/GH010639.MP4;D:/Innovation Videos/Camera 2/1-6/GH020639.MP4;D:/Innovation Videos/Camera 2/1-6/GH030639.MP4,1782.04,707.712;707.712;397.611,59.940;59.940;59.940, Lift,3131,Start,Start,,POINT,9.426,9.426,NA,D:/Innovation Videos/Camera 2/1-6/GH010639.MP4,566,566,
BT_3131,4/19/2023 13:30,,Media file,player #1:D:/Innovation Videos/Camera 2/1-6/GH010639.MP4;D:/Innovation Videos/Camera 2/1-6/GH020639.MP4;D:/Innovation Videos/Camera 2/1-6/GH030639.MP4,1782.04,707.712;707.712;397.611,59.940;59.940;59.940, Lift,3131,Foot Touch,Top Foot Touch,,POINT,409.326,409.326,NA,D:/Innovation Videos/Camera 2/1-6/GH010639.MP4,24536,24536,
